,id,dataset,version,attributes_orig,attributes_mod,rules_orig,rules_mod,coherence_orig,coherence_mod
0,16B,glass,2,130,130,53,53,0.3831429047782958,0.3831429047782958
1,4B,glass,2,130,121,53,53,0.3831429047782958,0.3897351396917272
2,21B,hepatitis,2,47,43,18,16,0.034306962475738785,0.03449873856834411
3,24B,autos,2,138,106,54,43,0.161975703528422,0.17048747543932893
4,12B,flag,2,141,33,52,18,0.18301259293633662,0.1597933972068109
5,17B,primary-tumor,2,180,119,46,42,0.14053182610222692,0.09950153666860853
6,1A,zoo,1,13,14,8,7,0.13593978280355487,0.14381488660424627
7,3B,zoo,2,13,15,8,8,0.13593978280355487,0.15889043387257246
